노선,방향,시간대,교통량
내부순환로,동향,0,1508
내부순환로,동향,1,1075
내부순환로,동향,2,852
내부순환로,동향,3,
내부순환로,,,1138
내부순환로,동향,5,2603
내부순환로,동향,6,3658
내부순환로,동향,7,3770
내부순환로,동향,8,3687
내부순환로,동향,9,3582
내부순환로,동향,10,3530
내부순환로,동향,11,3523
내부순환로,동향,12,
내부순환로,동향,13,3542
내부순환로,동향,14,3538
내부순환로,동향,15,3555
내부순환로,동향,16,3545
내부순환로,동향,17,3507
내부순환로,동향,18,3539
내부순환로,동향,19,3553
내부순환로,동향,20,3418
내부순환로,동향,21,3347
내부순환로,동향,22,3089
내부순환로,동향,23,2420
내부순환로,서향,0,1206
내부순환로,서향,1,870
내부순환로,서향,2,714
내부순환로,서향,3,740
내부순환로,서향,4,1342
내부순환로,서향,5,3110
내부순환로,서향,6,4090
내부순환로,서향,7,3919
내부순환로,서향,8,3599
내부순환로,서향,9,3633
내부순환로,서향,10,3532
내부순환로,서향,11,
내부순환로,서향,12,3581
내부순환로,서향,13,3606
내부순환로,서향,14,3667
내부순환로,서향,15,3715
내부순환로,서향,16,3661
내부순환로,서향,17,3622
내부순환로,서향,18,3540
내부순환로,서향,19,3560
내부순환로,서향,20,3201
내부순환로,서향,21,3087
내부순환로,서향,22,2792
내부순환로,서향,23,1906
강변북로,동향,0,2776
강변북로,동향,1,1889
강변북로,동향,2,1446
강변북로,동향,3,1362
강변북로,동향,4,2141
강변북로,동향,5,5304
강변북로,동향,6,6376
강변북로,동향,7,6407
강변북로,동향,8,6036
강변북로,동향,9,5910
강변북로,동향,10,5899
강변북로,동향,11,5875
강변북로,동향,12,5918
강변북로,동향,13,5945
강변북로,동향,14,5792
강변북로,동향,15,5651
강변북로,동향,16,5264
강변북로,동향,17,4426
강변북로,동향,18,4632
강변북로,동향,19,5014
강변북로,동향,20,5620
강변북로,동향,21,
강변북로,동향,22,5314
강변북로,동향,23,4332
강변북로,서향,0,2402
강변북로,서향,1,1671
강변북로,서향,2,1273
강변북로,서향,3,1083
강변북로,서향,4,1417
강변북로,서향,5,3099
강변북로,서향,6,5773
강변북로,서향,7,6226
강변북로,서향,8,6053
강변북로,서향,9,6105
강변북로,서향,10,6062
강변북로,서향,11,6034
강변북로,서향,12,6030
강변북로,서향,13,5912
강변북로,서향,14,5861
강변북로,서향,15,5811
강변북로,서향,16,5531
강변북로,서향,17,4523
강변북로,서향,18,3432
강변북로,서향,19,4063
강변북로,서향,20,5094
강변북로,서향,21,5470
강변북로,서향,22,5136
강변북로,서향,23,3809
북부간선도로,동향,0,1498
북부간선도로,동향,1,1102
북부간선도로,동향,2,873
북부간선도로,동향,3,854
북부간선도로,동향,4,1156
북부간선도로,동향,5,2323
북부간선도로,동향,6,2751
북부간선도로,동향,7,2776
북부간선도로,동향,8,2707
북부간선도로,동향,9,2734
북부간선도로,동향,10,2742
북부간선도로,동향,11,2774
북부간선도로,동향,12,2825
북부간선도로,동향,13,2797
북부간선도로,동향,14,2797
북부간선도로,동향,15,2832
북부간선도로,동향,16,2872
북부간선도로,동향,17,2892
북부간선도로,동향,18,2907
북부간선도로,동향,19,2864
북부간선도로,동향,20,2841
북부간선도로,동향,21,2811
북부간선도로,동향,22,2690
북부간선도로,동향,23,2134
북부간선도로,서향,0,1037
북부간선도로,서향,1,770
북부간선도로,서향,2,639
북부간선도로,서향,3,698
북부간선도로,서향,4,1331
북부간선도로,서향,5,2632
북부간선도로,서향,6,2897
북부간선도로,서향,7,2809
북부간선도로,서향,8,2627
북부간선도로,서향,9,2632
북부간선도로,서향,10,2608
북부간선도로,서향,11,2648
북부간선도로,서향,12,2688
북부간선도로,서향,13,2650
북부간선도로,서향,14,2598
북부간선도로,서향,15,2572
북부간선도로,서향,16,2428
북부간선도로,서향,17,2259
북부간선도로,서향,18,2261
북부간선도로,서향,19,2331
북부간선도로,서향,20,2441
북부간선도로,서향,21,2453
북부간선도로,서향,22,2193
북부간선도로,서향,23,1575
올림픽대로,동향,0,2179
올림픽대로,동향,1,1482
올림픽대로,동향,2,1180
올림픽대로,동향,3,1220
올림픽대로,동향,4,2238
올림픽대로,동향,5,5444
올림픽대로,동향,6,6174
올림픽대로,동향,7,6087
올림픽대로,동향,8,5831
올림픽대로,동향,9,5621
올림픽대로,동향,10,5514
올림픽대로,동향,11,5566
올림픽대로,동향,12,5645
올림픽대로,동향,13,5558
올림픽대로,동향,14,5470
올림픽대로,동향,15,5376
올림픽대로,동향,16,5160
올림픽대로,동향,17,4694
올림픽대로,동향,18,4322
올림픽대로,동향,19,4329
올림픽대로,동향,20,4685
올림픽대로,동향,21,4900
올림픽대로,동향,22,4221
올림픽대로,동향,23,3510
올림픽대로,서향,0,3596
올림픽대로,서향,1,2564
올림픽대로,서향,2,2045
올림픽대로,서향,3,1835
올림픽대로,서향,4,2397
올림픽대로,서향,5,4290
올림픽대로,서향,6,6735
올림픽대로,서향,7,7498
올림픽대로,서향,8,7157
올림픽대로,서향,9,6856
올림픽대로,서향,10,6722
올림픽대로,서향,11,6978
올림픽대로,서향,12,7055
올림픽대로,서향,13,7107
올림픽대로,서향,14,6933
올림픽대로,서향,15,6855
올림픽대로,서향,16,6644
올림픽대로,서향,17,6267
올림픽대로,서향,18,6041
올림픽대로,서향,19,6158
올림픽대로,서향,20,6553
올림픽대로,서향,21,6735
올림픽대로,서향,22,6545
올림픽대로,서향,23,5205
동부간선도로,북향,0,2309
동부간선도로,북향,1,1675
동부간선도로,북향,2,1333
동부간선도로,북향,3,1108
동부간선도로,북향,4,1201
동부간선도로,북향,5,1980
동부간선도로,북향,6,2472
동부간선도로,북향,7,2676
동부간선도로,북향,8,2961
동부간선도로,북향,9,2885
동부간선도로,북향,10,3018
동부간선도로,북향,11,3376
동부간선도로,북향,12,3539
동부간선도로,북향,13,3571
동부간선도로,북향,14,3727
동부간선도로,북향,15,3993
동부간선도로,북향,16,4148
동부간선도로,북향,17,3934
동부간선도로,북향,18,3687
동부간선도로,북향,19,3793
동부간선도로,북향,20,3909
동부간선도로,북향,21,4035
동부간선도로,북향,22,4050
동부간선도로,북향,23,3491
동부간선도로,남향,0,1400
동부간선도로,남향,1,996
동부간선도로,남향,2,789
동부간선도로,남향,3,870
동부간선도로,남향,4,1748
동부간선도로,남향,5,4074
동부간선도로,남향,6,4524
동부간선도로,남향,7,3690
동부간선도로,남향,8,2895
동부간선도로,남향,9,3005
동부간선도로,남향,10,3097
동부간선도로,남향,11,3255
동부간선도로,남향,12,3404
동부간선도로,남향,13,3340
동부간선도로,남향,14,3129
동부간선도로,남향,15,3030
동부간선도로,남향,16,2926
동부간선도로,남향,17,2320
동부간선도로,남향,18,2103
동부간선도로,남향,19,2169
동부간선도로,남향,20,2568
동부간선도로,남향,21,2713
동부간선도로,남향,22,2447
동부간선도로,남향,23,2007
분당수서로,북향,0,1189
분당수서로,북향,1,862
분당수서로,북향,2,719
분당수서로,북향,3,668
분당수서로,북향,4,994
분당수서로,북향,5,2353
분당수서로,북향,6,3687
분당수서로,북향,7,3700
분당수서로,북향,8,3663
분당수서로,북향,9,3554
분당수서로,북향,10,3509
분당수서로,북향,11,3494
분당수서로,북향,12,3503
분당수서로,북향,13,3495
분당수서로,북향,14,3484
분당수서로,북향,15,3489
분당수서로,북향,16,3542
분당수서로,북향,17,3507
분당수서로,북향,18,3408
분당수서로,북향,19,3198
분당수서로,북향,20,3244
분당수서로,북향,21,3047
분당수서로,북향,22,2619
분당수서로,북향,23,1840
분당수서로,남향,0,1387
분당수서로,남향,1,934
분당수서로,남향,2,690
분당수서로,남향,3,646
분당수서로,남향,4,964
분당수서로,남향,5,2572
분당수서로,남향,6,3634
분당수서로,남향,7,3708
분당수서로,남향,8,3567
분당수서로,남향,9,3442
분당수서로,남향,10,3321
분당수서로,남향,11,3302
분당수서로,남향,12,3361
분당수서로,남향,13,3362
분당수서로,남향,14,3358
분당수서로,남향,15,3440
분당수서로,남향,16,3526
분당수서로,남향,17,3503
분당수서로,남향,18,3475
분당수서로,남향,19,3352
분당수서로,남향,20,3199
분당수서로,남향,21,3090
분당수서로,남향,22,2912
분당수서로,남향,23,2216
경부고속도로,북향,0,2091
경부고속도로,북향,1,1517
경부고속도로,북향,2,1182
경부고속도로,북향,3,1086
경부고속도로,북향,4,1476
경부고속도로,북향,5,3570
경부고속도로,북향,6,5883
경부고속도로,북향,7,5117
경부고속도로,북향,8,4657
경부고속도로,북향,9,4609
경부고속도로,북향,10,4634
경부고속도로,북향,11,4730
경부고속도로,북향,12,4727
경부고속도로,북향,13,4733
경부고속도로,북향,14,4735
경부고속도로,북향,15,4716
경부고속도로,북향,16,4491
경부고속도로,북향,17,4044
경부고속도로,북향,18,3954
경부고속도로,북향,19,4134
경부고속도로,북향,20,4377
경부고속도로,북향,21,4790
경부고속도로,북향,22,4190
경부고속도로,북향,23,3254
경부고속도로,남향,0,2721
경부고속도로,남향,1,1814
경부고속도로,남향,2,1368
경부고속도로,남향,3,1404
경부고속도로,남향,4,2343
경부고속도로,남향,5,4576
경부고속도로,남향,6,5461
경부고속도로,남향,7,4859
경부고속도로,남향,8,4844
경부고속도로,남향,9,4730
경부고속도로,남향,10,4576
경부고속도로,남향,11,4439
경부고속도로,남향,12,4451
경부고속도로,남향,13,4408
경부고속도로,남향,14,4426
경부고속도로,남향,15,4369
경부고속도로,남향,16,4264
경부고속도로,남향,17,4046
경부고속도로,남향,18,4151
경부고속도로,남향,19,4285
경부고속도로,남향,20,4397
경부고속도로,남향,21,5063
경부고속도로,남향,22,5008
경부고속도로,남향,23,4138
강남순환로,동향,0,648
강남순환로,동향,1,382
강남순환로,동향,2,283
강남순환로,동향,3,295
강남순환로,동향,4,576
강남순환로,동향,5,2496
강남순환로,동향,6,5720
강남순환로,동향,7,6683
강남순환로,동향,8,5963
강남순환로,동향,9,5485
강남순환로,동향,10,4566
강남순환로,동향,11,3873
강남순환로,동향,12,3791
강남순환로,동향,13,4146
강남순환로,동향,14,3839
강남순환로,동향,15,3851
강남순환로,동향,16,4213
강남순환로,동향,17,4342
강남순환로,동향,18,3935
강남순환로,동향,19,3340
강남순환로,동향,20,2737
강남순환로,동향,21,2243
강남순환로,동향,22,1732
강남순환로,동향,23,1142
강남순환로,서향,0,978
강남순환로,서향,1,600
강남순환로,서향,2,425
강남순환로,서향,3,353
강남순환로,서향,4,461
강남순환로,서향,5,1051
강남순환로,서향,6,2561
강남순환로,서향,7,4180
강남순환로,서향,8,4653
강남순환로,서향,9,3990
강남순환로,서향,10,3459
강남순환로,서향,11,3542
강남순환로,서향,12,3614
강남순환로,서향,13,3892
강남순환로,서향,14,4237
강남순환로,서향,15,4864
강남순환로,서향,16,6092
강남순환로,서향,17,6835
강남순환로,서향,18,6442
강남순환로,서향,19,5503
강남순환로,서향,20,4087
강남순환로,서향,21,3193
강남순환로,서향,22,2849
강남순환로,서향,23,1838
